Outils;Quantitée;Site d'achat; Prix unitaire HT ;Prix unitaire TTC;Référence; Coût total HT ; Coût total TTC 
Outils de coupes manuels;;;;;; 2 085,93 € ; 2 503,11 € 
Varlope;2;Dieter schmid; 320,75 € ; 384,90 € ;308968; 641,50 € ; 769,80 € 
Rabot de paume;1;Dieter schmid; 189,92 € ; 227,90 € ;308961; 189,92 € ; 227,90 € 
Ciseau à bois Kirshen;1;Dieter schmid; 125,75 € ; 150,90 € ;303980; 125,75 € ; 150,90 € 
Ciseau à bois Japonais 3mm;1;Dictum; 23,92 € ; 28,70 € ;710780; 23,92 € ; 28,70 € 
Râpe piquée main;2;Auriou; 139,50 € ; 167,40 € ;L250P9; 279,00 € ; 334,80 € 
Scie japonaise;1;Dieter schmid; 32,42 € ; 38,90 € ;309310; 32,42 € ; 38,90 € 
Scie à fretter;1;Dieter schmid; 29,92 € ; 35,90 € ;303000; 29,92 € ; 35,90 € 
Scie à restaurer;2;Dictum; 16,58 € ; 19,90 € ;712309; 33,17 € ; 39,80 € 
Scie à chantourner;1;Dieter schmid; 24,92 € ; 29,90 € ;301810; 24,92 € ; 29,90 € 
Lame de scie à chantourner;2;Dieter schmid; 2,83 € ; 3,40 € ;308009; 5,67 € ; 6,80 € 
Lime à chanfreiner;1;Emma music; 16,67 € ; 20,00 € ;BOS-FBF-9025; 16,67 € ; 20,00 € 
"Lime à sillet ,010""";1;Emma music; 15,83 € ; 19,00 € ;ALL-TL-NF10; 15,83 € ; 19,00 € 
"Lime à sillet ,013""";1;Emma music; 15,83 € ; 19,00 € ;ALL-Tl-NF13; 15,83 € ; 19,00 € 
"Lime à sillet ,016""";1;Emma music; 15,83 € ; 19,00 € ;ALL-Tl-NF16; 15,83 € ; 19,00 € 
"Lime à sillet ,024""";1;Emma music; 15,83 € ; 19,00 € ;ALL-Tl-NF24; 15,83 € ; 19,00 € 
"Lime à sillet ,028""";1;Emma music; 15,83 € ; 19,00 € ;ALL-Tl-NF28; 15,83 € ; 19,00 € 
"Lime à sillet ,032""";1;Emma music; 15,83 € ; 19,00 € ;ALL-Tl-NF32; 15,83 € ; 19,00 € 
"Lime à sillet ,036""";1;Emma music; 16,58 € ; 19,90 € ;ALL-Tl-NF36; 16,58 € ; 19,90 € 
"Lime à sillet ,042""";1;Emma music; 16,58 € ; 19,90 € ;ALL-Tl-NF42; 16,58 € ; 19,90 € 
"Lime à sillet ,046""";1;Emma music; 16,58 € ; 19,90 € ;ALL-Tl-NF46; 16,58 € ; 19,90 € 
"Lime à sillet ,050""";1;Emma music; 16,58 € ; 19,90 € ;ALL-Tl-NF50; 16,58 € ; 19,90 € 
"Lime à sillet ,056""";1;Emma music; 16,58 € ; 19,90 € ;ALL-Tl-NF56; 16,58 € ; 19,90 € 
Lime à sillet basse;1;Madinter; 83,51 € ; 100,21 € ;0887; 83,51 € ; 100,21 € 
Lime arrondi;1;Emma music; 87,50 € ; 105,00 € ; ALL-LT-0840-000; 87,50 € ; 105,00 € 
